"crime_id","offense_date","agency_crimetype_id","city","state","coord1","coord2","masked_address","location","category",":@computed_region_me95_vbw4",":@computed_region_xf2b_u4zq",":@computed_region_gxae_hf64",":@computed_region_stch_rtry",":@computed_region_dgrd_cuuf",":@computed_region_m99d_em2n",":@computed_region_nyzj_ikpv",":@computed_region_g8my_uw59",":@computed_region_fe8q_buag",":@computed_region_y9za_kydd",":@computed_region_khsv_6puy",":@computed_region_pukb_5jqa",":@computed_region_fuzm_ngj2",":@computed_region_scpn_qt9a"
"2004004705ME [12:080]","2020-04-13T15:00:00.000","Vandalism/Misdemeanor","Memphis","TN","35.057","-90.023","3400 Elvis Presley Blvd","POINT (-90.023 35.057)","Property Crime","15","12","3","1","43","21",,"13","1","7",,,"3","1"
"1607003884ME [31:730]","2016-07-08T08:00:00.000","Burglary/Residential","Memphis","TN","35.160","-90.039","400 Looney","POINT (-90.039 35.16)","Breaking & Entering","7","7","7","1","4",,,"46","2","6",,,"7","1"
"1505005595ME [23:670]","2015-05-10T04:29:00.000","Simple Assault","Memphis","TN","35.140","-90.050","400 Beale","POINT (-90.05 35.14)","Assault","3","8","6","1","42","20",,"31","2","6",,,"7","1"
"1403009587ME [05:010]","2014-03-18T17:41:00.000","Other Theft/Scrap Metal","Memphis","TN",,,"4300 Rosewind Cir",,"Theft",,,,,,,,,,,,,,
"2004003083ME [07:667]","2020-04-09T14:50:00.000","Trespass of Real Property","Memphis","TN","35.071","-89.946","3600 Lamar Ave","POINT (-89.946 35.071)","Disorder","17","11","5","1","26",,,"14","1","5",,,"3","1"
"1405000968ME [07:957]","2014-05-02T06:00:00.000","Other Theft/Non-Specific","Memphis","TN",,,"2400 Ketchum",,"Theft",,,,,,,,,,,,,,
"1211012320ME [03:337]","2012-11-21T19:05:00.000","Theft from Motor Vehicle","Memphis","TN","35.062","-89.906","3200 Perkins Rd","POINT (-89.906 35.062)","Theft from Vehicle","17","11","5","2","8","2",,"9","1","5",,,"4","2"
"1811005292ME [09:530]","2018-11-11T13:00:00.000","Driving Under the Influence","Memphis","TN","35.143","-90.007","Poplar Ave//Claybrook St","POINT (-90.007 35.143)","Traffic","4","8","4","2","19",,,"36","2","4",,,"6","1"
"1210004505ME [11:690]","2012-10-08T19:30:00.000","Simple Assault/DV","Memphis","TN","35.195","-89.908","2600 Parkview","POINT (-89.908 35.195)","Assault","24","2","1","2","25","10",,"52","2","3",,,"1","2"
"1410000133ME [32:123]","2014-09-26T15:00:00.000","Theft from Building","Memphis","TN","35.112","-89.984","2400 Cable","POINT (-89.984 35.112)","Theft","13","5","5","1","40","13",,"25","2","9","1",,"4","1"
"1510015196ME [32:450]","2015-10-28T09:00:00.000","Theft from Motor Vehicle","Memphis","TN","35.141","-90.007","1700 Poplar","POINT (-90.007 35.141)","Theft from Vehicle","4","8","4","2","19",,,"36","2","4",,,"6","1"
"1501005944ME [17:553]","2015-01-13T18:00:00.000","Vandalism/Misdemeanor","Memphis","TN","35.060","-90.078","500 Hazelwood","POINT (-90.078 35.06)","Property Crime","9","13","6","1",,,,"15","1","7",,,"6","1"
"1205008475ME [07:263]","2012-05-14T05:30:00.000","Vandalism/Misdemeanor","Memphis","TN","35.035","-90.003","4200 Winding Brook","POINT (-90.003 35.035)","Property Crime","15","12","3","1","43","21",,"7","1","7",,,"3","1"
"2004000423ME [06:573]","2020-04-01T20:00:00.000","MVT/Passenger Vehicle","Arlington","TN","35.194","-89.721","10400 Cottage Oaks Dr","POINT (-89.721 35.194)","Theft of Vehicle","34","3","1","2",,,,"48","2","2",,,"1","2"
"1412011058ME [26:460]","2014-12-22T15:00:00.000","Theft of Vehicle Parts/Accessories","Memphis","TN","35.222","-89.898","5000 Yale","POINT (-89.898 35.222)","Theft","24","2","1","2","25","10",,"52","2","3",,,"1","2"
"1506008276ME [29:570]","2015-06-14T12:30:00.000","Aggravated Assault/DV","Memphis","TN","35.110","-90.023","1200 South Pkwy E","POINT (-90.023 35.11)","Assault","6","14","5","1","9",,,"26","2","4",,,"4","1"
"2308001657ME [36:393]","2023-08-02T22:00:00.000","Other Theft/Non-Specific","Memphis","TN","35.228","-90.015","200 Beale St","POINT (-90.015 35.228)","Theft","23","1","7","1","12","4",,"51","2","3",,,"7","1"
"2307008299ME [15:467]","2023-07-15T19:28:00.000","Shoplifting/Misdemeanor","Memphis","TN","35.107","-89.988","2300 Lamar Ave","POINT (-89.988 35.107)","Theft","13","14","5","1","9",,,"22","1","1",,,"4","1"
"1202011262ME [06:840]","2012-02-17T20:00:00.000","Burglary/Business","Memphis","TN","35.094","-89.960","3100 Kimball","POINT (-89.96 35.094)","Breaking & Entering","13","5","5","1",,,,"20","1","1",,,"4","1"
"1210015513ME [32:080]","2012-10-27T07:20:00.000","MVT/Passenger Vehicle","Memphis","TN","35.092","-90.062","100 E Norwood","POINT (-90.062 35.092)","Theft of Vehicle","9","14","6","1","9","18","6","24","1","1",,,"6","1"
"1506003940ME [15:783]","2015-06-07T11:00:00.000","Simple Assault","Memphis","TN","35.055","-89.922","3500 S Goodlett","POINT (-89.922 35.055)","Assault","17","11","3","2","8","2",,"14","1","5",,,"3","1"
"1612001292ME [28:710]","2016-12-03T10:05:00.000","Intimidation/DV","Memphis","TN","35.034","-90.089","4300 Bow St","POINT (-90.089 35.034)","Assault","9","13","6","1",,,,"2","1","7",,,"6","1"
"1211005968ME [44:620]","2012-11-10T17:00:00.000","Simple Assault","Memphis","TN","35.050","-89.866","Hickory Hill//Winchester","POINT (-89.866 35.05)","Assault","14","10","3","1","8","2","1","4","1","8",,,"3","1"
"2004010268ME [08:400]","2020-04-30T12:00:00.000","Aggravated Assault/DV","Memphis","TN","35.033","-90.017","4400 Eastwind Dr","POINT (-90.017 35.033)","Assault","15","12","3","1","43","21",,"8","1","7",,,"3","1"
"1311004861ME [11:680]","2013-11-09T00:40:00.000","Simple Assault","Memphis","TN","35.150","-89.955","3200 Summer","POINT (-89.955 35.15)","Assault","11","6","4","2","29","12","7","38","2","9",,,"5","2"
"2307012999ME [11:033]","2023-07-23T20:00:00.000","Vandalism/Misdemeanor","Memphis","TN","35.134","-90.053","300 Butler Ave","POINT (-90.053 35.134)","Property Crime","22","8","6","1","37","20",,"28","2","6",,,"7","1"
"2006000694ME [35:800]","2020-06-02T14:45:00.000","Aggravated Assault/DV","Memphis","TN","35.093","-89.947","Highland//Kimball Ave","POINT (-89.947 35.093)","Assault","10","5","5","1",,,,"19","1","5",,,"4","1"
"1505013179ME [15:773]","2015-05-08T12:00:00.000","Burglary/Residential","Memphis","TN","35.126","-90.023","1200 Sledge","POINT (-90.023 35.126)","Breaking & Entering","4","8","6","1","9","6",,"26","2","4",,,"6","1"
"1512010430ME [50:100]","2015-12-20T19:00:00.000","Shoplifting/Misdemeanor","Memphis","TN","35.135","-90.006","1700 Union","POINT (-90.006 35.135)","Theft","4","8","4","2","44","22",,"36","2","4",,,"4","2"
"1505006615ME [18:957]","2015-05-12T00:00:00.000","Theft from Motor Vehicle","Memphis","TN","35.040","-89.863","6100 N Littlebrook Circle","POINT (-89.863 35.04)","Theft from Vehicle","14","10","3","1","8","2","1","4","1","8",,,"3","1"
"1508009858ME [22:727]","2015-08-19T15:30:00.000","Simple Assault","Memphis","TN","35.112","-89.993","1300 Tanglewood","POINT (-89.993 35.112)","Assault","13","8","5","1","19",,,"34","2","4",,,"4","2"
"1205018593ME [53:490]","2012-05-29T23:20:00.000","Simple Assault","Memphis","TN","35.014","-89.995","Wilson//Hornsby","POINT (-89.995 35.014)","Assault","15","12","3","1","43","21",,"7","1","7",,,"3","1"
"1404001541ME [28:020]","2014-04-02T20:50:00.000","Intimidation/DV","Memphis","TN",,,"3600 Chowning St",,"Assault",,,,,,,,,,,,,,
"1403004408ME [12:570]","2014-03-09T21:40:00.000","Simple Assault/DV","Memphis","TN",,,"8000 Winchester",,"Assault",,,,,,,,,,,,,,
"1507011817ME [35:557]","2015-07-20T15:25:00.000","Theft from Motor Vehicle","Memphis","TN","35.107","-90.021","1500 Elvis Presley Blvd","POINT (-90.021 35.107)","Theft from Vehicle","6","14","5","1","9",,,"22","1","1",,,"4","1"
"2308020068ME [13:200]","2023-08-15T07:45:00.000","Other Theft/Non-Specific","Memphis","TN","35.052","-89.814","3500 Germantown Rd","POINT (-89.814 35.052)","Theft","18","4","2","2","8","2",,"10","1","8",,,"2","2"
"1601004506ME [17:587]","2016-01-10T13:00:00.000","Simple Assault","Memphis","TN","35.085","-89.970","2200 Pendleton","POINT (-89.97 35.085)","Assault","13","5","5","1","9",,,"21","1","1",,,"4","1"
"2004005888ME [11:293]","2020-04-17T14:41:00.000","Threatening Phone Call","Memphis","TN","35.172","-90.025","1200 Morehead St","POINT (-90.025 35.172)","Assault","7","7","7","1","27","11",,"44","2","6",,,"7","1"
"1505005637ME [17:477]","2015-05-10T07:30:00.000","Burglary/Non-residential","Memphis","TN","35.233","-89.973","4000 Coral","POINT (-89.973 35.233)","Breaking & Entering","23","1","7","1","12","4",,"53","2","3",,,"7","1"
"1507002836ME [35:410]","2015-07-06T07:30:00.000","Weapon Law Violations/Felony","Memphis","TN","35.120","-90.053","300 Walker","POINT (-90.053 35.12)","Weapons Offense","22","14","6","1","9",,"5","27","2","4",,,"6","1"
"1307018331ME [09:210]","2013-07-28T19:00:00.000","Theft of Vehicle Parts/Accessories","Memphis","TN",,,"1300 Breedlove St",,"Theft",,,,,,,,,,,,,,
"1401013991ME [44:620]","2014-01-24T22:00:00.000","Theft of Vehicle Parts/Accessories","Memphis","TN",,,"4600 Aldridge Rd",,"Theft",,,,,,,,,,,,,,
"2308009120ME [10:393]","2023-08-15T23:00:00.000","MVT/Passenger Vehicle","Memphis","TN","35.138","-90.004","1800 Madison Ave","POINT (-90.004 35.138)","Theft of Vehicle","4","8","4","2","19",,,"34","2","4",,,"6","1"
"1506003793ME [18:780]","2015-06-07T01:30:00.000","Simple Assault/DV","Memphis","TN","35.095","-89.970","2900 Kimball Ave","POINT (-89.97 35.095)","Assault","13","5","5","1",,,,"20","1","1",,,"4","1"
"1506008964ME [40:583]","2015-06-07T11:59:00.000","Shoplifting/Misdemeanor","Memphis","TN","35.124","-90.046","500 Crump","POINT (-90.046 35.124)","Theft","22","14","6","1","9","6","5","27","2","4",,,"6","1"
"1510004484ME [29:377]","2015-10-09T13:14:00.000","Embezzlement","Memphis","TN","35.094","-89.935","1800 S Prescott","POINT (-89.935 35.094)","Theft","10","5","5","1",,,,"19","1","5",,,"4","2"
"1206013070ME [02:600]","2012-06-21T10:35:00.000","Simple Assault/DV","Memphis","TN","35.027","-90.035","Hale//Auburn","POINT (-90.035 35.027)","Assault","15","12","6","1","43","21",,"3","1","7",,,"6","1"
"1401003479ME [00:683]","2014-01-08T08:40:00.000","Burglary/Residential","Memphis","TN",,,"4300 N Amanda Cir",,"Breaking & Entering",,,,,,,,,,,,,,
"2004000579ME [35:777]","2020-04-02T15:00:00.000","Aggravated Assault","Memphis","TN","35.130","-89.946","3500 Plaza Ave","POINT (-89.946 35.13)","Assault","10","9","4","2",,,,"30","2","9",,,"5","2"
"1412009494ME [15:260]","2014-12-18T16:00:00.000","Theft of Vehicle Parts/Accessories","Memphis","TN","35.164","-89.844","6600 Cedarbrook","POINT (-89.844 35.164)","Theft","28","3","2","2",,,,"42","2","2",,,"1","2"
"1508003332ME [30:347]","2015-08-07T00:00:00.000","Intimidation","Memphis","TN","35.060","-90.060","3300 S Third St","POINT (-90.06 35.06)","Assault","9","13","6","1",,,,"15","1","7",,,"6","1"
"1412002260ME [07:797]","2014-12-04T22:20:00.000","Vandalism/Misdemeanor","Memphis","TN","35.163","-90.015","900 N Claybrook","POINT (-90.015 35.163)","Property Crime","7","7","7","1","6","8",,"45","2","4",,,"7","1"
"1407010072ME [07:037]","2014-07-18T10:00:00.000","Burglary/Residential","Memphis","TN",,,"1800 Norfolk",,"Breaking & Entering",,,,,,,,,,,,,,
"1412011749ME [24:763]","2014-12-24T22:00:00.000","Simple Assault/DV","Memphis","TN","35.055","-89.859","5700 Waterstone Oak Way","POINT (-89.859 35.055)","Assault","14","10","3","1","8","2","1","10","1","8",,,"3","1"
"1305013190ME [54:593]","2013-05-22T15:32:00.000","Burglary/Residential","Memphis","TN","35.184","-89.928","4000 Alpine","POINT (-89.928 35.184)","Breaking & Entering","8","6","7","2","29","12","7","41","2","9",,,"7","2"
"1504014867ME [04:243]","2015-04-25T20:20:00.000","Simple Assault","Memphis","TN","35.065","-89.926","4200 Cedarwood Cv","POINT (-89.926 35.065)","Assault","17","11","5","2","8","2",,"12","1","5",,,"4","2"
"1802007336ME [22:787]","2018-02-14T18:00:00.000","Shoplifting/Misdemeanor","Memphis","TN","35.048","-89.811","7600 Winchester Rd","POINT (-89.811 35.048)","Theft","21","4","2","2","8","2",,"4","1","8",,,"2","2"
"1308012606ME [11:987]","2013-08-20T14:30:00.000","Other Theft/Non-Specific","Memphis","TN",,,"700 Mitchell",,"Theft",,,,,,,,,,,,,,
"2307012096ME [08:107]","2023-07-22T05:00:00.000","MVT/Passenger Vehicle","Memphis","TN","35.206","-89.985","3000 Palm St","POINT (-89.985 35.206)","Theft of Vehicle","23","1","7","1","12","4",,"49","2","3",,,"7","1"
"1804002019ME [08:970]","2018-04-04T19:00:00.000","Theft from Motor Vehicle","Memphis","TN","35.128","-89.799","200 S Germantown Pkwy","POINT (-89.799 35.128)","Theft from Vehicle","19","3","2","2",,,,"32","2","2",,,"2","2"
"1402007844ME [13:350]","2014-02-16T00:15:00.000","Vandalism/Misdemeanor","Memphis","TN",,,"1400 Noble",,"Property Crime",,,,,,,,,,,,,,
"1512004587ME [06:730]","2015-12-09T20:40:00.000","Shoplifting/Misdemeanor","Memphis","TN","35.126","-89.991","2200 Central Ave","POINT (-89.991 35.126)","Theft","4","8","5","1","19",,,"34","2","4","1",,"4","2"
"1608008810ME [04:187]","2016-08-17T12:00:00.000","Burglary/Residential","Memphis","TN","35.014","-89.992","5000 Brady","POINT (-89.992 35.014)","Breaking & Entering","15","12","3","1","43","21",,"7","1","7",,,"3","1"
"1608003021ME [04:610]","2016-08-06T16:30:00.000","Disorderly Conduct","Memphis","TN","35.024","-90.043","4600 Tulane","POINT (-90.043 35.024)","Disorder","9","13","6","1","43","21",,"3","1","7",,,"6","1"
"1410003143ME [24:333]","2014-10-02T15:15:00.000","Intimidation","Memphis","TN","35.126","-90.006","1700 Central","POINT (-90.006 35.126)","Assault","4","8","4","2","44","22",,"34","2","4",,,"4","2"
"1504002554ME [57:997]","2015-04-05T04:45:00.000","Vandalism/Misdemeanor","Memphis","TN","35.010","-89.991","5100 Scenic Pines Ct","POINT (-89.991 35.01)","Property Crime","15","12","3","1","43","21",,"7","1","7",,,"3","1"
"1503008137ME [11:243]","2015-03-12T20:00:00.000","Other Theft/Non-Specific","Memphis","TN","35.080","-89.986","2400 Airways","POINT (-89.986 35.08)","Theft","13","14","5","1","35","16",,"16","1","1",,,"6","1"
"1311004125ME [04:493]","2013-11-07T23:50:00.000","Aggravated Assault","Memphis","TN",,,"1500 Hickory Way",,"Assault",,,,,,,,,,,,,,
"2307016694ME [11:223]","2023-07-30T03:00:00.000","MVT/Passenger Vehicle","Memphis","TN","35.184","-89.976","2500 Midway Rd","POINT (-89.976 35.184)","Theft of Vehicle","8","7","7","1","1","1",,"43","2","4",,,"7","1"
"1503006794ME [11:290]","2015-03-15T16:47:00.000","Shoplifting/Misdemeanor","Memphis","TN","35.042","-90.026","4000 Elvis Presley","POINT (-90.026 35.042)","Theft","15","12","6","1","43","21",,"3","1","7",,,"6","1"
"1703012584ME [18:070]","2017-03-25T03:30:00.000","Driving Under the Influence","Memphis","TN","35.146","-90.044","Adams//Danny Thomas","POINT (-90.044 35.146)","Traffic","5","8","7","1","36","3",,"33","2","6",,,"6","1"
"1603002764ME [14:817]","2016-03-05T00:00:00.000","Vandalism/Misdemeanor","Memphis","TN","35.096","-89.957","3200 Toby Ln","POINT (-89.957 35.096)","Property Crime","10","5","5","1",,,,"20","1","1",,,"4","1"
"2307012729ME [08:743]","2023-07-23T16:30:00.000","Shoplifting/Misdemeanor","Memphis","TN","35.075","-89.907","2800 Perkins Rd","POINT (-89.907 35.075)","Theft","17","11","5","2","8","2",,"12","1","5",,,"4","2"
"1707013389ME [02:680]","2017-07-24T23:00:00.000","Burglary/Non-residential","Memphis","TN","35.137","-89.956","3200 Highland Park Place","POINT (-89.956 35.137)","Breaking & Entering","10","9","4","2","18","7",,"30","2","9",,,"5","2"
"1310009530ME [38:663]","2013-10-15T18:30:00.000","Theft of Vehicle Parts/Accessories","Memphis","TN",,,"2800 Meadow Lake Dr E",,"Theft",,,,,,,,,,,,,,
"1212003697ME [57:893]","2012-11-01T08:00:00.000","Identity Theft","Memphis","TN",,,"6900 Seaside Dr",,"Theft",,,,,,,,,,,,,,
"1511010385ME [08:097]","2015-08-19T08:00:00.000","Theft of Other Trailer","Memphis","TN","35.059","-89.934","3900 Lamar","POINT (-89.934 35.059)","Theft of Vehicle","17","11","5","1","26",,,"14","1","5",,,"3","1"
"1701007275ME [03:150]","2017-01-15T11:00:00.000","Simple Assault/DV","Memphis","TN","35.030","-90.016","4400 Graceland","POINT (-90.016 35.03)","Assault","15","12","3","1","43","21",,"8","1","7",,,"3","1"
"1207016479ME [14:113]","2012-07-28T22:35:00.000","Drugs/Narcotics Violation/Felony","Memphis","TN","35.021","-90.057","Shelby Dr//Neely","POINT (-90.057 35.021)","Drugs","9","13","6","1",,,,"3","1","7",,,"6","1"
"1703005880ME [12:417]","2017-03-12T18:40:00.000","Drug Equipment Violation","Memphis","TN","35.139","-89.902","400 Avon Rd","POINT (-89.902 35.139)","Drugs","16","9","4","2",,,,"39","2","2",,,"5","2"
"1412013125ME [51:710]","2014-12-26T22:00:00.000","Theft of Vehicle Parts/Accessories","Memphis","TN","35.060","-89.923","3300 Dorchester","POINT (-89.923 35.06)","Theft","17","11","3","2","8","2",,"14","1","5",,,"3","1"
"1408012234ME [43:540]","2014-08-21T20:25:00.000","Simple Assault/DV","Memphis","TN","35.159","-89.945","3500 Lamphier","POINT (-89.945 35.159)","Assault","20","6","4","2","29","12","7","38","2","9",,,"5","2"
"1509006672ME [06:700]","2015-09-12T18:00:00.000","Vandalism/Misdemeanor","Memphis","TN","35.089","-90.012","1600 Cane Meadow #103","POINT (-90.012 35.089)","Property Crime","6","14","5","1","35","16",,"16","1","1",,,"6","1"
"1308012079ME [15:190]","2013-08-19T23:00:00.000","Theft of Vehicle Parts/Accessories","Memphis","TN",,,"3900 Jackson Ave",,"Theft",,,,,,,,,,,,,,
"1410009778ME [30:377]","2014-10-18T17:55:00.000","Identity Theft","Memphis","TN","35.183","-89.896","2200 Covington Pike","POINT (-89.896 35.183)","Theft","24","2","1","2",,,,"42","2","2",,,"1","2"
"2307013051ME [16:580]","2023-07-24T01:00:00.000","Vandalism/Misdemeanor","Memphis","TN","35.177","-90.018","1400 Bellevue Blvd","POINT (-90.018 35.177)","Property Crime","7","7","7","1","27","11",,"45","2","4",,,"7","1"
"1311000409ME [12:900]","2013-11-01T11:00:00.000","Burglary/Residential","Memphis","TN",,,"3800 Timberline Dr",,"Breaking & Entering",,,,,,,,,,,,,,
"1811013045ME [35:360]","2018-11-28T18:59:00.000","Other Theft/Non-Specific","Memphis","TN","35.127","-89.951","200 Alexander St","POINT (-89.951 35.127)","Theft","10","9","4","2","21",,"4","30","2","9",,,"5","2"
"2308004945ME [35:480]","2023-08-01T12:00:00.000","Burglary/Residential","Memphis","TN","35.072","-89.898","5000 Judy Lynn Ave","POINT (-89.898 35.072)","Breaking & Entering","17","11","5","1","8","2",,"12","1","5",,,"4","1"
"1407007979ME [54:447]","2014-07-15T10:50:00.000","Intimidation","Memphis","TN",,,"3100 Morningside",,"Assault",,,,,,,,,,,,,,
"2301006501ME [11:740]","2023-01-12T21:20:00.000","Weapon Law Violations/Felony","Memphis","TN","35.017","-89.949","4900 Allrand Rd","POINT (-89.949 35.017)","Weapons Offense","17","11","3","1",,,,"6","1","8",,,"3","1"
"2111000302ME [10:013]","2021-11-01T13:40:00.000","Intimidation","Memphis","TN","35.169","-89.789","8300 Hay Loft Dr","POINT (-89.789 35.169)","Assault","34","3","2","2",,,,"48","2","2",,,"2","2"
